Country,Age,Employment,EdLevel,DevCategory,DevType,CompTotal,CompRange
Germany,35-44,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",90000.0,50k-100k
Greece,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",42000.0,0-50k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Greece,35-44,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,75000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",95000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75647.9641025641,50k-100k
Belgium,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",68326.91558441559,50k-100k
Portugal,25-34,Employed,Master,Software Development Roles,"Developer, back-end",59052.09756097561,50k-100k
Germany,18-24,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",15000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, back-end",80975.01548387097,50k-100k
Austria,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",74286.58673469388,50k-100k
Netherlands,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,87023.48401826483,50k-100k
Belgium,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",68326.91558441559,50k-100k
Germany,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",75312.76595744681,50k-100k
France,35-44,Employed,PhD,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",60000.0,50k-100k
Italy,35-44,Employed,Master,Data Science and Analysis Roles,Data or business analyst,40000.0,0-50k
Germany,45-54,Employed,Bachelor,Data Science and Analysis Roles,Data or business analyst,74000.0,50k-100k
Germany,18-24,Employed,Master,Software Development Roles,"Developer, full-stack",57000.0,50k-100k
Germany,55-64,Employed,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",52000.0,50k-100k
Spain,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",35000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",72000.0,50k-100k
Germany,35-44,Employed,PhD,Software Development Roles,"Developer, back-end",67363.36111111111,50k-100k
Germany,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",85000.0,50k-100k
Finland,25-34,Employed,Master,Software Development Roles,"Developer, back-end",65000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Italy,45-54,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Project manager,70000.0,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75000.0,50k-100k
France,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",53217.56870229008,50k-100k
Italy,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",18000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",55000.0,50k-100k
Italy,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,20000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",60000.0,50k-100k
Netherlands,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,87023.48401826483,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Finland,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",62517.5761589404,50k-100k
Estonia,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",65000.0,50k-100k
Germany,25-34,Freelancer,Master,"Academic, Educational, and Research Roles",Academic researcher,40579.0,0-50k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Greece,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",45584.52413793103,0-50k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, mobile",140000.0,100k-200k
Latvia,25-34,Employed,Bachelor,Specialized Technical Roles,Database administrator,30000.0,0-50k
Germany,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",72000.0,50k-100k
France,45-54,Freelancer,Master,Specialized Technical Roles,Blockchain,61573.302305721605,50k-100k
Germany,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",75312.76595744681,50k-100k
Netherlands,25-34,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,48000.0,0-50k
Germany,25-34,Freelancer,Master,"Academic, Educational, and Research Roles",Academic researcher,35000.0,0-50k
Germany,55-64,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",80975.01548387097,50k-100k
Lithuania,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",56991.7247706422,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Austria,25-34,Employed,Master,Software Development Roles,"Developer, front-end",57400.0,50k-100k
Finland,25-34,Employed,Master,Software Development Roles,"Developer, front-end",4300.0,0-50k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",56000.0,50k-100k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, back-end",30000.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",61000.0,50k-100k
Slovenia,25-34,Freelancer,Master,Specialized Technical Roles,Blockchain,5000.0,0-50k
Spain,35-44,Employed,PhD,"Management, Leadership, and Advocacy Roles",Product manager,42000.0,0-50k
Spain,35-44,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering","Engineer, site reliability",65000.0,50k-100k
Greece,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",2300.0,0-50k
Luxembourg,25-34,Employed,PhD,"Academic, Educational, and Research Roles",Research & Development role,40000.0,0-50k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",42000.0,0-50k
Estonia,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",30000.0,0-50k
Germany,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",91367.40076335878,50k-100k
Germany,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles",Developer Advocate,80975.01548387097,50k-100k
Spain,25-34,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,1950.0,0-50k
Italy,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,64000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",6200.0,0-50k
Ireland,55-64,Employed,PhD,Software Development Roles,"Developer, full-stack",145000.0,100k-200k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Austria,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",110000.0,100k-200k
Netherlands,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",65000.0,50k-100k
Austria,25-34,Employed,Master,Software Development Roles,"Developer, back-end",56000.0,50k-100k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,80975.01548387097,50k-100k
Ireland,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",102727.61627906976,100k-200k
Croatia,25-34,Employed,Master,Software Development Roles,"Developer, back-end",35000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",190000.0,100k-200k
Austria,35-44,Employed,Master,Software Development Roles,"Developer, back-end",74286.58673469388,50k-100k
Germany,25-34,Employed,PhD,Data Science and Analysis Roles,Data scientist or machine learning specialist,110000.0,100k-200k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",60000.0,50k-100k
France,18-24,Employed,Master,Other Professional Roles,"Developer, game or graphics",31500.0,0-50k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,80975.01548387097,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",90000.0,50k-100k
Italy,35-44,Employed,Master,Specialized Technical Roles,Security professional,51639.30034129693,50k-100k
Italy,Prefer not to say,Employed,Master,Software Development Roles,"Developer, full-stack",51639.30034129693,50k-100k
Belgium,25-34,Employed,Master,"Academic, Educational, and Research Roles",Research & Development role,68326.91558441559,50k-100k
Germany,35-44,Freelancer,PhD,Software Development Roles,"Developer, full-stack",100000.0,100k-200k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",96000.0,50k-100k
Lithuania,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",36000.0,0-50k
Spain,35-44,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,60000.0,50k-100k
Italy,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,51639.30034129693,50k-100k
Ireland,35-44,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,80000.0,50k-100k
Portugal,35-44,Freelancer,Master,Software Development Roles,"Developer, back-end",100000.0,100k-200k
Croatia,35-44,Employed,Master,Software Development Roles,"Developer, back-end",55000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",42000.0,0-50k
Spain,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
Finland,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",57600.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",48000.0,0-50k
Luxembourg,25-34,Employed,Master,Software Development Roles,"Developer, back-end",55000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",52000.0,50k-100k
Netherlands,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",30000.0,0-50k
Netherlands,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",90000.0,50k-100k
Malta,25-34,Employed,Master,Software Development Roles,"Developer, back-end",95000.0,50k-100k
Belgium,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",100000.0,100k-200k
Portugal,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",32000.0,0-50k
France,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,83000.0,50k-100k
Spain,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",28000.0,0-50k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, back-end",70000.0,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, mobile",75312.76595744681,50k-100k
Czech Republic,35-44,Freelancer,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,154000.0,100k-200k
Austria,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,93000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",39000.0,0-50k
Greece,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",42000.0,0-50k
Germany,35-44,Employed,Master,"Academic, Educational, and Research Roles",Scientist,80975.01548387097,50k-100k
France,35-44,Freelancer,PhD,Software Development Roles,"Developer, full-stack",60000.0,50k-100k
Finland,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",85000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",64000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",30000.0,0-50k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",80975.01548387097,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",105000.0,100k-200k
Italy,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",38000.0,0-50k
Germany,25-34,Employed,PhD,Software Development Roles,"Developer, full-stack",64000.0,50k-100k
Greece,25-34,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",Cloud infrastructure engineer,22500.0,0-50k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, back-end",96000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",42000.0,0-50k
Latvia,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",62750.0,50k-100k
Germany,35-44,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",System administrator,60000.0,50k-100k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
Germany,35-44,Employed,PhD,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",91367.40076335878,50k-100k
Spain,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Austria,25-34,Employed,Bachelor,"Academic, Educational, and Research Roles",Research & Development role,82811.39416058394,50k-100k
Spain,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",57486.9186351706,50k-100k
Austria,45-54,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,82811.39416058394,50k-100k
Netherlands,35-44,Employed,PhD,Software Development Roles,"Developer, front-end",80000.0,50k-100k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, back-end",106000.0,100k-200k
France,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, embedded applications or devices",100000.0,100k-200k
France,35-44,Employed,Master,Software Development Roles,"Developer, front-end",80000.0,50k-100k
Italy,35-44,Employed,PhD,"Academic, Educational, and Research Roles",Academic researcher,36000.0,0-50k
Germany,35-44,Freelancer,Master,Software Development Roles,"Developer, embedded applications or devices",26000.0,0-50k
Belgium,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",68326.91558441559,50k-100k
Germany,25-34,Employed,Bachelor,Specialized Technical Roles,"Developer, QA or test",58000.0,50k-100k
Austria,45-54,Freelancer,Master,Software Development Roles,"Developer, full-stack",170000.0,100k-200k
Germany,35-44,Employed,Bachelor,Specialized Technical Roles,Security professional,75312.76595744681,50k-100k
Belgium,25-34,Freelancer,Master,"Academic, Educational, and Research Roles",Academic researcher,32500.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, front-end",75000.0,50k-100k
Germany,25-34,Employed,PhD,Software Development Roles,"Developer, back-end",49600.0,0-50k
Italy,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",46858.40754716981,0-50k
Greece,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",55000.0,50k-100k
Netherlands,25-34,Employed,Master,Specialized Technical Roles,"Developer, QA or test",60000.0,50k-100k
Austria,45-54,Employed,Master,Software Development Roles,"Developer, back-end",74286.58673469388,50k-100k
Italy,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",24000.0,0-50k
Spain,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
Netherlands,18-24,Employed,Bachelor,Software Development Roles,"Developer, mobile",30000.0,0-50k
Germany,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",65000.0,50k-100k
France,35-44,Employed,Bachelor,Software Development Roles,"Developer, back-end",140000.0,100k-200k
Portugal,45-54,Employed,Bachelor,Software Development Roles,"Developer, back-end",96332.63829787234,50k-100k
Netherlands,45-54,Employed,Master,Software Development Roles,"Developer, back-end",75000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",73000.0,50k-100k
Austria,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",74286.58673469388,50k-100k
Netherlands,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",110000.0,100k-200k
Germany,35-44,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",50000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",70000.0,50k-100k
Italy,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",31000.0,0-50k
France,25-34,Employed,PhD,Software Development Roles,"Developer, back-end",90000.0,50k-100k
Austria,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,50000.0,50k-100k
Netherlands,18-24,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",45000.0,0-50k
Netherlands,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,40000.0,0-50k
Netherlands,45-54,Freelancer,Master,Software Development Roles,"Developer, front-end",60000.0,50k-100k
France,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering","Engineer, site reliability",100000.0,100k-200k
France,25-34,Employed,PhD,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,67008.79096045198,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",35979.0,0-50k
Slovenia,25-34,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,40000.0,0-50k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",70000.0,50k-100k
Austria,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",63000.0,50k-100k
Germany,55-64,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",97435.0,50k-100k
Germany,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,80975.01548387097,50k-100k
France,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",42000.0,0-50k
France,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",90000.0,50k-100k
Germany,25-34,Employed,Master,"Management, Leadership, and Advocacy Roles","Senior Executive (C-Suite, VP, etc.)",85000.0,50k-100k
Romania,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, full-stack",75000.0,50k-100k
Romania,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",57000.0,50k-100k
Finland,25-34,Employed,PhD,Data Science and Analysis Roles,Data scientist or machine learning specialist,100000.0,100k-200k
France,25-34,Employed,Master,Software Development Roles,"Developer, back-end",55000.0,50k-100k
Latvia,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",33600.0,0-50k
Germany,45-54,Employed,Bachelor,Software Development Roles,"Developer, full-stack",85000.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, back-end",160000.0,100k-200k
Croatia,25-34,Employed,Master,Specialized Technical Roles,"Developer, QA or test",50000.0,50k-100k
Belgium,45-54,Employed,Master,"Management, Leadership, and Advocacy Roles",Project manager,68326.91558441559,50k-100k
Netherlands,45-54,Employed,Master,Software Development Roles,"Developer, embedded applications or devices",75000.0,50k-100k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",70000.0,50k-100k
Italy,35-44,Employed,PhD,"Management, Leadership, and Advocacy Roles",Engineering manager,90000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",73500.0,50k-100k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",86000.0,50k-100k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",80975.01548387097,50k-100k
France,55-64,Freelancer,PhD,Software Development Roles,"Developer, desktop or enterprise applications",67008.79096045198,50k-100k
Ireland,45-54,Freelancer,Master,Software Development Roles,"Developer, full-stack",135000.0,100k-200k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",70000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",100000.0,100k-200k
Germany,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",56000.0,50k-100k
Germany,25-34,Employed,Master,Specialized Technical Roles,Security professional,50000.0,50k-100k
France,25-34,Employed,Master,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,18-24,Employed,Bachelor,Software Development Roles,"Developer, full-stack",44400.0,0-50k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",75647.9641025641,50k-100k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",120000.0,100k-200k
Portugal,25-34,Employed,Master,Specialized Technical Roles,Blockchain,96000.0,50k-100k
Greece,18-24,Employed,Bachelor,Software Development Roles,"Developer, desktop or enterprise applications",15000.0,0-50k
Italy,25-34,Employed,PhD,Software Development Roles,"Developer, back-end",40000.0,0-50k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",85000.0,50k-100k
Belgium,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, front-end",120000.0,100k-200k
Germany,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,8000.0,0-50k
Germany,45-54,Employed,Master,Software Development Roles,"Developer, back-end",135000.0,100k-200k
Spain,45-54,Employed,PhD,Software Development Roles,"Developer, full-stack",28000.0,0-50k
Slovenia,35-44,Employed,Bachelor,Software Development Roles,"Developer, mobile",50000.0,50k-100k
Belgium,25-34,Employed,Master,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,68000.0,50k-100k
Germany,45-54,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,60000.0,50k-100k
Germany,25-34,Employed,Master,Data Science and Analysis Roles,Data scientist or machine learning specialist,98000.0,50k-100k
Germany,18-24,Freelancer,Bachelor,Software Development Roles,"Developer, embedded applications or devices",40000.0,0-50k
France,35-44,Freelancer,Master,Software Development Roles,"Developer, full-stack",0.0,0-50k
Ireland,25-34,Employed,Bachelor,"Management, Leadership, and Advocacy Roles",Engineering manager,120000.0,100k-200k
Belgium,25-34,Employed,Bachelor,"DevOps, Cloud, and Site Reliability Engineering",DevOps specialist,35000.0,0-50k
Spain,35-44,Employed,PhD,Software Development Roles,"Developer, back-end",73000.0,50k-100k
Germany,45-54,Employed,PhD,"Academic, Educational, and Research Roles",Educator,100000.0,100k-200k
Germany,25-34,Employed,Bachelor,Software Development Roles,"Developer, front-end",37000.0,0-50k
Ireland,45-54,Employed,Master,Software Development Roles,"Developer, full-stack",175000.0,100k-200k
Portugal,25-34,Freelancer,Master,Software Development Roles,"Developer, mobile",60000.0,50k-100k
Germany,25-34,Freelancer,Master,Software Development Roles,"Developer, back-end",120000.0,100k-200k
Germany,55-64,Employed,Master,Software Development Roles,"Developer, full-stack",80000.0,50k-100k
Netherlands,35-44,Employed,PhD,Software Development Roles,"Developer, full-stack",83640.0,50k-100k
Netherlands,25-34,Freelancer,Bachelor,Software Development Roles,"Developer, back-end",75000.0,50k-100k
Netherlands,25-34,Employed,Bachelor,Software Development Roles,"Developer, full-stack",65000.0,50k-100k
Portugal,25-34,Freelancer,Master,Software Development Roles,"Developer, full-stack",59052.09756097561,50k-100k
Spain,25-34,Employed,Master,Software Development Roles,"Developer, back-end",65000.0,50k-100k
Spain,18-24,Employed,Bachelor,Software Development Roles,"Developer, back-end",46500.0,0-50k
Germany,35-44,Employed,Bachelor,Software Development Roles,"Developer, full-stack",45000.0,0-50k
Germany,18-24,Employed,Bachelor,Other Professional Roles,"Developer, game or graphics",80000.0,50k-100k
Germany,25-34,Employed,Master,Software Development Roles,"Developer, full-stack",70200.0,50k-100k
Croatia,35-44,Employed,Master,Software Development Roles,"Developer, desktop or enterprise applications",50631.10588235294,50k-100k
Italy,35-44,Employed,Master,Software Development Roles,"Developer, full-stack",51639.30034129693,50k-100k
Spain,25-34,Employed,Master,"Academic, Educational, and Research Roles",Academic researcher,60681.50151057402,50k-100k
